id,path,app,format,source,producer,producer_version,features,license_status,tier,expected_status,quarantine_reason,sha256,size_bytes,notes
pptx_ms_expansion_090_japandi-linear-marketing-presentatio,corpus/pptx/pptx_ms_expansion_090_japandi-linear-marketing-presentatio.pptx,powerpoint,pptx,private-source:9db4f16d5f34c3f1,Microsoft Office PowerPoint,16.0000,office-native;media;multi-master;many-layouts,private-evaluation-only,nightly,pass,,9db4f16d5f34c3f1986545eb92b3e68122c7b372892eb8233965614c7fe14af7,15187125,parts=179; slides=15; charts=0; media=18; embeddings=0; private evaluation only; do not redistribute; private source redacted
pptx_ms_expansion_091_24p-ppt,corpus/pptx/pptx_ms_expansion_091_24p-ppt.pptx,powerpoint,pptx,private-source:5e476f1067583272,Microsoft Office PowerPoint,16.0000,office-native;media;transitions;animations;multi-master;many-layouts,private-evaluation-only,extended,pass,,5e476f1067583272c40087cebb8aa081468cdbaa669d3700627a7fa719c71c24,19786586,parts=112; slides=24; charts=0; media=11; embeddings=0; private evaluation only; do not redistribute; private source redacted
pptx_ms_expansion_092_ppt-8-15,corpus/pptx/pptx_ms_expansion_092_ppt-8-15.pptx,powerpoint,pptx,private-source:2d53fd8aabe5ef55,Microsoft Macintosh PowerPoint,16.0000,office-native;charts;media;embedded-objects;embedded-workbooks;transitions;multi-master;many-layouts,private-evaluation-only,nightly,pass,,2d53fd8aabe5ef558d83310442d58d1c393b6c10ad259241e127c891822d3873,583033,parts=110; slides=4; charts=28; media=4; embeddings=7; private evaluation only; do not redistribute; private source redacted
pptx_ms_expansion_093_ppt-10-6,corpus/pptx/pptx_ms_expansion_093_ppt-10-6.pptx,powerpoint,pptx,private-source:8eec55c4f5075077,Microsoft Macintosh PowerPoint,16.0000,office-native;charts;media;embedded-objects;embedded-workbooks;transitions;multi-master;many-layouts,private-evaluation-only,nightly,pass,,8eec55c4f5075077b34b6d24669f20ea7bbe215a7752a32ed39c5a44ec32f2e4,851927,parts=81; slides=6; charts=4; media=9; embeddings=1; private evaluation only; do not redistribute; private source redacted
pptx_ms_expansion_094_37p-ppt,corpus/pptx/pptx_ms_expansion_094_37p-ppt.pptx,powerpoint,pptx,private-source:c44c5622c46edcce,Microsoft Office PowerPoint,16.0000,office-native;diagrams;media;notes;transitions;multi-master;many-layouts,private-evaluation-only,nightly,pass,,c44c5622c46edcce9cedb6a6f1288bba8c4b8086ba5eb7729c8662a47b66d81f,1349370,parts=192; slides=37; charts=0; media=16; embeddings=0; private evaluation only; do not redistribute; private source redacted
pptx_ms_expansion_095_p2-05,corpus/pptx/pptx_ms_expansion_095_p2-05.pptx,powerpoint,pptx,private-source:d350d1edcfe52acb,Microsoft Macintosh PowerPoint,16.0000,office-native;media;notes;transitions;multi-master;many-layouts,private-evaluation-only,nightly,pass,,d350d1edcfe52acba00a92cb431143236272351470f5ecc3e5b83bcdf0740994,2648338,parts=183; slides=23; charts=0; media=10; embeddings=0; private evaluation only; do not redistribute; private source redacted
pptx_ms_expansion_097_p3-03,corpus/pptx/pptx_ms_expansion_097_p3-03.pptx,powerpoint,pptx,private-source:9c11b8dcf8d13b65,Microsoft Macintosh PowerPoint,16.0000,office-native;media;notes;transitions;multi-master;many-layouts,private-evaluation-only,nightly,pass,,9c11b8dcf8d13b6509e19a16a3778195c4b637db6037d2b79bc6b7825027ce7c,2723742,parts=126; slides=19; charts=0; media=16; embeddings=0; private evaluation only; do not redistribute; private source redacted
pptx_ms_expansion_099_oasis,corpus/pptx/pptx_ms_expansion_099_oasis.pptx,powerpoint,pptx,private-source:b944d681dcf426c1,Microsoft Office PowerPoint,16.0000,office-native;media;multi-master;many-layouts,private-evaluation-only,nightly,pass,,b944d681dcf426c11fa0581620129198b74bd8913a1ccf067be57a981b04a128,2895889,parts=147; slides=1; charts=0; media=9; embeddings=0; private evaluation only; do not redistribute; private source redacted
pptx_ms_expansion_100_p2-01,corpus/pptx/pptx_ms_expansion_100_p2-01.pptx,powerpoint,pptx,private-source:e938d80396b3e349,Microsoft Macintosh PowerPoint,16.0000,office-native;media;multi-master;many-layouts,private-evaluation-only,nightly,pass,,e938d80396b3e349450ca54a3509e60a932ae79575f67890efc1082a0ebed6c8,3040721,parts=259; slides=26; charts=0; media=15; embeddings=0; private evaluation only; do not redistribute; private source redacted
pptx_ms_expansion_102_office-file,corpus/pptx/pptx_ms_expansion_102_office-file.pptx,powerpoint,pptx,private-source:02289e5b20f6ecc9,Microsoft Office PowerPoint,16.0000,office-native;diagrams;media;transitions;animations;multi-master;many-layouts,private-evaluation-only,nightly,pass,,02289e5b20f6ecc9e185802854638751171ba45b2edb8a22272c2e75b979cdb7,6035800,parts=203; slides=55; charts=0; media=35; embeddings=0; private evaluation only; do not redistribute; private source redacted
pptx_ms_expansion_103_ppt,corpus/pptx/pptx_ms_expansion_103_ppt.pptx,powerpoint,pptx,private-source:afa2053a4acccbce,Microsoft Office PowerPoint,15.0000,office-native;media;notes;transitions;animations;multi-master;many-layouts,private-evaluation-only,nightly,pass,,afa2053a4acccbce131d8a16382fa27104db91332de5417dd364f2aa4cf25256,7054468,parts=102; slides=20; charts=0; media=8; embeddings=0; private evaluation only; do not redistribute; private source redacted
pptx_ms_expansion_104_tdf129372,corpus/pptx/pptx_ms_expansion_104_tdf129372.pptx,powerpoint,pptx,private-source:b9bc871d807225cb,Microsoft Office PowerPoint,16.0000,office-native;media;equations;multi-master;many-layouts,private-evaluation-only,nightly,pass,,b9bc871d807225cb92cbc2dfbead959e86920d3e0b2dc53ad6d59fb0110e45b7,33865,parts=38; slides=1; charts=0; media=1; embeddings=0; private evaluation only; do not redistribute; private source redacted
pptx_ms_expansion_105_06,corpus/pptx/pptx_ms_expansion_105_06.pptx,powerpoint,pptx,private-source:b09b312622c4130f,Microsoft Office PowerPoint,16.0000,office-native;media;notes;animations;multi-master;many-layouts,private-evaluation-only,nightly,pass,,b09b312622c4130f9e577ea1831e0f62c04bd49af575e55700e642b2504ebcb5,152629,parts=85; slides=8; charts=0; media=28; embeddings=0; private evaluation only; do not redistribute; private source redacted
docx_ms_expansion_106_fdo76316,corpus/docx/docx_ms_expansion_106_fdo76316.docx,word,docx,private-source:da37919bf44b5db4,Microsoft Office Word,12.0000,office-native;media;hyperlinks;large-docx,private-evaluation-only,stress,pass,,da37919bf44b5db49759e0d85b420a6f241c02da41c3d75237c92f379a366309,653222,parts=1714; slides=0; charts=0; media=344; embeddings=0; private evaluation only; do not redistribute; private source redacted
docx_ms_expansion_107_word,corpus/docx/docx_ms_expansion_107_word.docx,word,docx,private-source:f60725efb83badca,Microsoft Office Word,16.0000,office-native;media;equations;headers;footers;footnotes;endnotes;customxml;content-controls;fields;hyperlinks,private-evaluation-only,nightly,pass,,f60725efb83badca4a41b0c882619f60413241f1b56c076e58b6199f2fc3db9b,98998,parts=27; slides=0; charts=0; media=3; embeddings=0; private evaluation only; do not redistribute; private source redacted
docx_ms_expansion_108_complex-400p,corpus/docx/docx_ms_expansion_108_complex-400p.docx,word,docx,private-source:b3a19f4ad85a7b6e,Microsoft Office Word,14.0000,office-native;media;embedded-objects;embedded-workbooks;headers;footers;footnotes;endnotes;customxml;fields;hyperlinks;large-docx,private-evaluation-only,nightly,pass,,b3a19f4ad85a7b6e4e73070f0509937138debd66a49994bfad581d5e56673f79,3586228,parts=181; slides=0; charts=0; media=141; embeddings=12; private evaluation only; do not redistribute; private source redacted
docx_ms_expansion_109_hexagon-labels-30-per-page,corpus/docx/docx_ms_expansion_109_hexagon-labels-30-per-page.docx,word,docx,private-source:1ab74c4f67e3d095,Microsoft Office Word,16.0000,office-native;headers;footers;footnotes;endnotes;customxml;content-controls,private-evaluation-only,nightly,pass,,1ab74c4f67e3d095ba66c8779d7026eb69a43a74a5387e816c81840dd3c1afa3,195820,parts=36; slides=0; charts=0; media=0; embeddings=0; private evaluation only; do not redistribute; private source redacted
docx_ms_expansion_110_testchartoleobjectembeddings,corpus/docx/docx_ms_expansion_110_testchartoleobjectembeddings.docx,word,docx,private-source:446c1dde1fbd4ec0,Microsoft Office Word,14.0000,office-native;charts;diagrams;media;embedded-objects;embedded-workbooks;headers;footers;footnotes;endnotes;customxml;fields;hyperlinks,private-evaluation-only,nightly,pass,,446c1dde1fbd4ec0b4f5188934d62dc20200c4750ea435eb7f43bc1a40628f19,2041727,parts=75; slides=0; charts=10; media=10; embeddings=1; private evaluation only; do not redistribute; private source redacted
